Epoch 255/1000, Loss: 0.0822363358376355, Accuracy: 0.9891
Epoch 256/1000, Loss: 0.07917122722699724, Accuracy: 0.9891
Epoch 257/1000, Loss: 0.07631188284220367, Accuracy: 0.9923
Epoch 258/1000, Loss: 0.07896351030674474, Accuracy: 0.9858
Epoch 259/1000, Loss: 0.0775508289707118, Accuracy: 0.9902
Epoch 260/1000, Loss: 0.0778991384110574, Accuracy: 0.9912
Epoch 261/1000, Loss: 0.07242973148822784, Accuracy: 0.9912
Epoch 262/1000, Loss: 0.07545503588586018, Accuracy: 0.9912
Epoch 263/1000, Loss: 0.0737385188454184, Accuracy: 0.9934
Epoch 264/1000, Loss: 0.07589283662623372, Accuracy: 0.9902
Epoch 265/1000, Loss: 0.07210436489047675, Accuracy: 0.9902
Epoch 266/1000, Loss: 0.07368103543232227, Accuracy: 0.9869
Epoch 267/1000, Loss: 0.07354768699613111, Accuracy: 0.9902
Epoch 268/1000, Loss: 0.07231327184829218, Accuracy: 0.9880
Epoch 269/1000, Loss: 0.0700615793466568, Accuracy: 0.9880
Epoch 270/1000, Loss: 0.07003982622047951, Accuracy: 0.9912
Epoch 271/1000, Loss: 0.07500416554253676, Accuracy: 0.9891
Epoch 272/1000, Loss: 0.06282244474980338, Accuracy: 0.9934
Epoch 273/1000, Loss: 0.06192164135904148, Accuracy: 0.9945
Epoch 274/1000, Loss: 0.0630893244183269, Accuracy: 0.9934
Epoch 275/1000, Loss: 0.061506636826128794, Accuracy: 0.9978
Epoch 276/1000, Loss: 0.06023891334389818, Accuracy: 0.9934
Epoch 277/1000, Loss: 0.06553937199300733, Accuracy: 0.9891
Epoch 278/1000, Loss: 0.06678655069192936, Accuracy: 0.9891
Epoch 279/1000, Loss: 0.06296717433323121, Accuracy: 0.9912
Epoch 280/1000, Loss: 0.06120265114667087, Accuracy: 0.9945
Epoch 281/1000, Loss: 0.06092154896207925, Accuracy: 0.9945
Epoch 282/1000, Loss: 0.08204491121758675, Accuracy: 0.9858
Epoch 283/1000, Loss: 0.05501813672739884, Accuracy: 0.9956
Epoch 284/1000, Loss: 0.05724702351566019, Accuracy: 0.9945
Epoch 285/1000, Loss: 0.056094387931556536, Accuracy: 0.9923
Epoch 286/1000, Loss: 0.05432562504349084, Accuracy: 0.9945
Epoch 287/1000, Loss: 0.05266298225213741, Accuracy: 0.9967
Epoch 288/1000, Loss: 0.054049993704619076, Accuracy: 0.9945
Epoch 289/1000, Loss: 0.051003387197852135, Accuracy: 0.9967
Epoch 290/1000, Loss: 0.05210275800320609, Accuracy: 0.9956
Epoch 291/1000, Loss: 0.05219426898863809, Accuracy: 0.9956
Epoch 292/1000, Loss: 0.04924671005072265, Accuracy: 0.9956
Epoch 293/1000, Loss: 0.04914304382842163, Accuracy: 0.9989
Epoch 294/1000, Loss: 0.04953797354266561, Accuracy: 0.9934
Epoch 295/1000, Loss: 0.04624921545900147, Accuracy: 0.9978
Epoch 296/1000, Loss: 0.049221726905169155, Accuracy: 0.9956
Epoch 297/1000, Loss: 0.050711646001657534, Accuracy: 0.9934
Epoch 298/1000, Loss: 0.05156301552879399, Accuracy: 0.9956
Epoch 299/1000, Loss: 0.0487299796579213, Accuracy: 0.9956
Epoch 300/1000, Loss: 0.04969144952965194, Accuracy: 0.9945
Epoch 301/1000, Loss: 0.04394049409391551, Accuracy: 0.9956
Epoch 302/1000, Loss: 0.046503395677126684, Accuracy: 0.9967
Epoch 303/1000, Loss: 0.049210708010299455, Accuracy: 0.9923
